prompt,tool_predicted,tool_ground_truth,run_id
What is the total units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the sum units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the standard deviation units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the range units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the average the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the mean the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the median the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the max the units_sold column in the dataset?,Calculator,TableSummarizer,20260829-133312
What is the min the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the total the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the sum the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the standard deviation the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the range the units_sold column in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the average unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the mean unit sales in the dataset?,Calculator,TableSummarizer,20260829-133312
What is the median unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the max unit sales in the dataset?,Calculator,TableSummarizer,20260829-133312
What is the min unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the total unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the sum unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the standard deviation unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the range unit sales in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the average the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the mean the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the median the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the max the number of units sold in the dataset?,Calculator,TableSummarizer,20260829-133312
What is the min the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the total the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the sum the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
What is the standard deviation the number of units sold in the dataset?,Calculator,TableSummarizer,20260829-133312
What is the range the number of units sold in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
Calculate the average of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the median of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the max of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the min of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the total of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the sum of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the standard deviation of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the range of revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the average of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the median of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the max of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the min of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the total of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the sum of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the standard deviation of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the range of sales revenue.,Calculator,TableSummarizer,20260829-133312
Calculate the average of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the median of the revenue column.,TableSummarizer,TableSummarizer,20260829-133312
Calculate the max of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the min of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the total of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the sum of the revenue column.,TableSummarizer,TableSummarizer,20260829-133312
Calculate the standard deviation of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the range of the revenue column.,Calculator,TableSummarizer,20260829-133312
Calculate the average of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the median of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the max of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the min of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the total of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the sum of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the standard deviation of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the range of earnings.,Calculator,TableSummarizer,20260829-133312
Calculate the average of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the median of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the max of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the min of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the total of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the sum of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the standard deviation of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the range of units sold.,Calculator,TableSummarizer,20260829-133312
Calculate the average of the units_sold column.,Calculator,TableSummarizer,20260829-133312
Calculate the mean of the units_sold column.,Calculator,TableSummarizer,20260829-133312
Calculate the median of the units_sold column.,TableSummarizer,TableSummarizer,20260829-133312
Calculate the max of the units_sold column.,Calculator,TableSummarizer,20260829-133312
