prompt,tool_predicted,tool_ground_truth,agent_role,difficulty,category,run_id
Grep auth.log for failed password attempts in the last hour on this host,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Add an iptables DROP rule for 192.168.56.101,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Block 10.0.0.66 with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Show the recent authentication log just now on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Dump the recent lines of auth.log on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Find failed SSH authentication attempts in the last hour on this machine,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Grep auth.log for failed password attempts right now,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Count the failed login attempts right now on this box,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
List recent failed login attempts recently on this machine,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
What server ports are bound and listening over the past day here?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
How many failed SSH logins were there right now on this machine?,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Which processes are using the most CPU just now on the server?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Read the system authentication log on this host,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
List the ports in LISTEN state just now on the server,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Enumerate the listening ports this morning on the server,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Enumerate the listening ports right now on the defender,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Someone keeps trying to get into the server lately — can you check?,ListeningPorts,CheckFailedLogins,defender,hard,natural,20260829-162521
Add an iptables DROP rule for the malicious host,BlockIP,BlockIP,defender,easy,direct,20260829-162521
List the ports in LISTEN state recently on the server,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
What server ports are bound and listening since boot on the server?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show the failed password entries from auth.log,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Find failed SSH authentication attempts,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Enumerate the running processes this morning on the server,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Show the failed password entries from auth.log here,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state today?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Not the syslog — I mean the authentication log right now,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Never mind the processes — which sockets are in LISTEN state recently?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Run ss -tlnp and show the listening sockets on this machine,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Drop all incoming traffic from the attacker IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Don't just log it — actually block the suspicious IP at the firewall,BlockIP,BlockIP,defender,hard,trick,20260829-162521
We identified the flagged address as the attacker — now block it,BlockIP,BlockIP,defender,hard,multistep,20260829-162521
Never mind the processes — which sockets are in LISTEN state today?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Never mind the processes — which sockets are in LISTEN state over the past day?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Show the open listening TCP sockets on the defender,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Blacklist the malicious host on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Show me the SSH authentication events lately,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show the top processes by CPU usage here,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Never mind the processes — which sockets are in LISTEN state in the last hour?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Don't scan any ports — just tell me what processes are running,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
Not the syslog — I mean the authentication log lately,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Blacklist 10.0.0.66 on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Ban 10.0.0.66 using iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running since boot,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
"Check the failed logins — actually, just show me the whole auth log",ReadAuthLog,ReadAuthLog,defender,hard,opposite,20260829-162521
Show the failed password entries from auth.log on the server,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Who's been logging into this machine lately?,ReadAuthLog,ReadAuthLog,defender,hard,natural,20260829-162521
Give me the process list sorted by CPU here,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Which processes are using the most CPU recently on this box?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Count the failed login attempts this morning here,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Check this host for suspicious activity in the last hour,ListeningPorts,ReadAuthLog,defender,hard,ambiguous,20260829-162521
Don't just log it — actually block the attacker IP at the firewall,BlockIP,BlockIP,defender,hard,trick,20260829-162521
Show me the SSH authentication events recently on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Enumerate the running processes just now,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Display the tail of the auth log since boot on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show me the SSH authentication events here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Read the system authentication log on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Read the system authentication log on the server,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running right now,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
Don't scan any ports — just tell me what processes are running this morning,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
What server ports are bound and listening on the defender?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Enumerate the listening ports recently,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Run ps aux and show the top processes over the past day on this host,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Check what's exposed on this host just now,ListeningPorts,ListeningPorts,defender,hard,ambiguous,20260829-162521
List the running processes sorted by CPU right now on the defender,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
the flagged address is clearly bad news — get rid of it,BlockIP,BlockIP,defender,hard,natural,20260829-162521
Dump the recent lines of auth.log on this host,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running in the last hour,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
"List listening ports, then we'll map them to processes",ListeningPorts,ListeningPorts,defender,hard,multistep,20260829-162521
Someone keeps trying to get into the server in the last hour — can you check?,CheckFailedLogins,CheckFailedLogins,defender,hard,natural,20260829-162521
Which processes are using the most CPU in the last hour on the defender?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Which processes are using the most CPU since boot on this host?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Not the syslog — I mean the authentication log recently,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Block the malicious host with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
List recent failed login attempts just now on this box,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Don't just log it — actually block 192.168.56.101 at the firewall,BlockIP,BlockIP,defender,hard,trick,20260829-162521
Find the failed SSH logins so we can block the source,CheckFailedLogins,CheckFailedLogins,defender,hard,multistep,20260829-162521
Drop all incoming traffic from the malicious host,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Blacklist the suspicious IP on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
What's my server got open to the network right now?,ListeningPorts,ListeningPorts,defender,hard,natural,20260829-162521
Firewall off 10.0.0.66,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Count the failed login attempts recently on this box,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Check what's exposed on this host,ListeningPorts,ListeningPorts,defender,hard,ambiguous,20260829-162521
Show the top processes by CPU usage on this host,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
List the running processes sorted by CPU recently on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Never mind the processes — which sockets are in LISTEN state right now?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Show the recent authentication log today on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Which processes are using the most CPU right now on this box?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running today,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
Read the last entries in /var/log/auth.log on this machine,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Grep auth.log for failed password attempts this morning here,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Show me the SSH authentication events lately here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
See what's active on this box lately,ListeningPorts,ListProcesses,defender,hard,ambiguous,20260829-162521
Block the attacker IP with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Run ss -tlnp and show the listening sockets on this box,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Ban the suspicious IP using iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Which processes are using the most CPU right now on the server?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Enumerate the running processes this morning,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Which processes are using the most CPU lately on the server?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Deny network access from 192.168.56.101 at the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Give me the process list sorted by CPU,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Ignore the running processes; I want the listening ports,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
Run ss -tlnp and show the listening sockets on this host,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
List recent failed login attempts today on the defender,ListProcesses,CheckFailedLogins,defender,easy,direct,20260829-162521
We identified 10.0.0.66 as the attacker — now block it,BlockIP,BlockIP,defender,hard,multistep,20260829-162521
Never mind the processes — which sockets are in LISTEN state lately?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
What server ports are bound and listening today on the defender?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Ignore the running processes; I want the listening ports just now,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
Blacklist the attacker IP on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
List the ports in LISTEN state since boot on the defender,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
List the ports in LISTEN state lately here,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Find failed SSH authentication attempts this morning here,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Run ss -tlnp and show the listening sockets on the defender,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Firewall off the malicious host,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Don't just log it — actually block 10.0.0.66 at the firewall,BlockIP,BlockIP,defender,hard,trick,20260829-162521
Find failed SSH authentication attempts lately on this machine,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
How many failed SSH logins were there recently on the defender?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
192.168.56.101 is clearly bad news — get rid of it,BlockIP,BlockIP,defender,hard,natural,20260829-162521
List the ports in LISTEN state since boot,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Enumerate the running processes lately on the server,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Ignore the running processes; I want the listening ports today,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
Firewall off 192.168.56.101,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Why is this box so slow? What's hogging it?,ListeningPorts,ListProcesses,defender,hard,natural,20260829-162521
Don't scan any ports — just tell me what processes are running lately,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
Read the last entries in /var/log/auth.log,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Enumerate the running processes today on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Add an iptables DROP rule for the flagged address,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running over the past day,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
List the ports in LISTEN state right now on the server,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Ignore the running processes; I want the listening ports this morning,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
Not the syslog — I mean the authentication log,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Which processes are using the most CPU recently on this machine?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Ignore the running processes; I want the listening ports over the past day,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
Grep auth.log for failed password attempts today on this host,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Enumerate the running processes in the last hour on this machine,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Enumerate the listening ports right now on this machine,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
How many failed SSH logins were there since boot on this host?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Ban 192.168.56.101 using iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Show the recent authentication log on this host,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Deny network access from the malicious host at the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Not the syslog — I mean the authentication log over the past day,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Show the failed password entries from auth.log on this host,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Count the failed login attempts just now on the server,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Count the failed login attempts recently on this machine,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Which processes are using the most CPU since boot here?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Read the last entries in /var/log/auth.log on the server,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Never mind the processes — which sockets are in LISTEN state?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Dump the recent lines of auth.log,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Check what's exposed on this host since boot,ListeningPorts,ListeningPorts,defender,hard,ambiguous,20260829-162521
Drop all incoming traffic from the flagged address,BlockIP,BlockIP,defender,easy,direct,20260829-162521
List the running processes sorted by CPU over the past day on the server,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Which processes are using the most CPU on this machine?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state today on this host?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show the recent authentication log in the last hour on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Display the tail of the auth log recently on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
List the running processes sorted by CPU just now on this host,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Block the suspicious IP with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Look for signs of an attack in the logs over the past day,ReadAuthLog,CheckFailedLogins,defender,hard,ambiguous,20260829-162521
Show the failed password entries from auth.log on this box,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Display the tail of the auth log since boot on the server,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show the failed password entries from auth.log on the defender,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state over the past day on this host?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
We identified the suspicious IP as the attacker — now block it,BlockIP,BlockIP,defender,hard,multistep,20260829-162521
Run ss -tlnp and show the listening sockets on the server,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Enumerate the running processes in the last hour on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Check this host for suspicious activity right now,ListeningPorts,ReadAuthLog,defender,hard,ambiguous,20260829-162521
What server ports are bound and listening on this box?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Read the system authentication log here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
List the ports in LISTEN state,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Run ss -tlnp and show the listening sockets,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
How many failed SSH logins were there in the last hour here?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Find failed SSH authentication attempts over the past day on this host,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Add an iptables DROP rule for 10.0.0.66,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Deny network access from the attacker IP at the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
10.0.0.66 is clearly bad news — get rid of it,BlockIP,BlockIP,defender,hard,natural,20260829-162521
Not the syslog — I mean the authentication log since boot,ReadAuthLog,ReadAuthLog,defender,hard,trick,20260829-162521
Never mind the processes — which sockets are in LISTEN state this morning?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Enumerate the running processes recently on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Ban the malicious host using iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
How many failed SSH logins were there on the defender?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
What server ports are bound and listening today on this machine?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show me the SSH authentication events on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Firewall off the flagged address,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Someone keeps trying to get into the server this morning — can you check?,CheckFailedLogins,CheckFailedLogins,defender,hard,natural,20260829-162521
Ignore the running processes; I want the listening ports in the last hour,ListeningPorts,ListeningPorts,defender,hard,trick,20260829-162521
How many failed SSH logins were there this morning on the server?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Don't just log it — actually block the flagged address at the firewall,BlockIP,BlockIP,defender,hard,trick,20260829-162521
Show the top processes by CPU usage,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Display the tail of the auth log today,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Give me the process list sorted by CPU on the defender,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Show me the SSH authentication events recently on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Read the last entries in /var/log/auth.log on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Block 192.168.56.101 with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Deny network access from the suspicious IP at the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
We identified 192.168.56.101 as the attacker — now block it,BlockIP,BlockIP,defender,hard,multistep,20260829-162521
Which processes are using the most CPU since boot on the server?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
What server ports are bound and listening right now here?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show me the SSH authentication events today here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Firewall off the suspicious IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Run ps aux and show the top processes right now here,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Check this host for suspicious activity today,ListeningPorts,ReadAuthLog,defender,hard,ambiguous,20260829-162521
List the running processes sorted by CPU,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
See what's active on this box right now,ListeningPorts,ListProcesses,defender,hard,ambiguous,20260829-162521
Enumerate the listening ports just now on this box,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
See what's active on this box recently,ReadAuthLog,ListProcesses,defender,hard,ambiguous,20260829-162521
Show the failed password entries from auth.log on this machine,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
We identified the attacker IP as the attacker — now block it,BlockIP,BlockIP,defender,hard,multistep,20260829-162521
Ban the attacker IP using iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Dump the recent lines of auth.log on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Grep auth.log for failed password attempts over the past day on the server,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Enumerate the listening ports this morning on this host,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Firewall off the attacker IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Run ss -tlnp and show the listening sockets here,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Don't scan any ports — just tell me what processes are running just now,ListProcesses,ListProcesses,defender,hard,trick,20260829-162521
Show the open listening TCP sockets here,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Add an iptables DROP rule for the attacker IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Never mind the processes — which sockets are in LISTEN state just now?,ListeningPorts,ListeningPorts,defender,hard,opposite,20260829-162521
Which processes are using the most CPU recently on this host?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Display the tail of the auth log just now on this box,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Check this host for suspicious activity since boot,ListeningPorts,ReadAuthLog,defender,hard,ambiguous,20260829-162521
"Pull the auth log first, then we'll count the failures",ReadAuthLog,ReadAuthLog,defender,hard,multistep,20260829-162521
Someone keeps trying to get into the server over the past day — can you check?,CheckFailedLogins,CheckFailedLogins,defender,hard,natural,20260829-162521
Read the last entries in /var/log/auth.log on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
the malicious host is clearly bad news — get rid of it,BlockIP,BlockIP,defender,hard,natural,20260829-162521
Read the auth log and pull out just the failed password lines,ReadAuthLog,CheckFailedLogins,defender,hard,opposite,20260829-162521
Which local ports are in LISTEN state in the last hour on this machine?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
"Show the processes, then we'll decide what to kill",ListProcesses,ListProcesses,defender,hard,multistep,20260829-162521
List recent failed login attempts today on this host,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Drop all incoming traffic from 10.0.0.66,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Which processes are using the most CPU on this box?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
How many failed SSH logins were there recently here?,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Dump the recent lines of auth.log here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Block the flagged address with iptables,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Run ps aux and show the top processes this morning on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Dump the recent lines of auth.log on this machine,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show the recent authentication log today on this host,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show me the SSH authentication events recently on the server,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Add an iptables DROP rule for the suspicious IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Check this host for suspicious activity this morning,ListeningPorts,ReadAuthLog,defender,hard,ambiguous,20260829-162521
Grep auth.log for failed password attempts on this box,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state right now?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show the top processes by CPU usage on the defender,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Read the last entries in /var/log/auth.log here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Show the open listening TCP sockets on this host,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Show the recent authentication log in the last hour on this machine,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Drop all incoming traffic from 192.168.56.101,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Show the top processes by CPU usage on this box,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Not the whole auth log — only the failed password attempts,CheckFailedLogins,CheckFailedLogins,defender,hard,trick,20260829-162521
Deny network access from 10.0.0.66 at the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
List the ports in LISTEN state today on the defender,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Read the system authentication log on the defender,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
How many failed SSH logins were there right now on this host?,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Show the open listening TCP sockets,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
List the ports in LISTEN state recently on this box,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Someone keeps trying to get into the server since boot — can you check?,ListeningPorts,CheckFailedLogins,defender,hard,natural,20260829-162521
Display the tail of the auth log this morning on this machine,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Find failed SSH authentication attempts just now on this box,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
the attacker IP is clearly bad news — get rid of it,BlockIP,BlockIP,defender,hard,natural,20260829-162521
Show the recent authentication log since boot on this machine,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state over the past day on this machine?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Run ps aux and show the top processes on the defender,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Anything weird in the logs lately?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
"Show the hostname, kernel and uptime right now on the defender",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show basic system information just now on this machine,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Review the logs for anything unusual right now,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
"Report the system info: hostname, OS, uptime",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Read the recent syslog messages just now on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Review the logs for anything unusual since boot,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Read the recent syslog messages over the past day on the defender,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"How long has this thing been running, and what is it?",GetSystemInfo,GetSystemInfo,shared,hard,natural,20260829-162521
Read the recent syslog messages just now on the defender,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Display the tail of the syslog in the last hour on this box,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Tail the system log (syslog) lately,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Review the logs for anything unusual recently,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Anything weird in the logs?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
Show me what the system has been up to today,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Show the last entries of /var/log/syslog recently on the defender,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show the last entries of /var/log/syslog since boot on this machine,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me what the system has been up to this morning,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
"Show the hostname, kernel and uptime this morning here",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Anything weird in the logs in the last hour?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
Show me what the system has been up to just now,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
